p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,add1,add2
Alcohol Abuse [LSS],,https://vle.learning.moe.edu.sg/mrv/moe-library/lesson/view/136dd1d9-8f5b-497e-83d5-cc44b4d2e0c7/cover,lss nt,LSS NT,nt science,NT SCIENCE,NT Science,G1 science,Normal Technical,Normal Technical Science,G1 LSS,G1 Science
Smoking [LSS],,https://vle.learning.moe.edu.sg/mrv/moe-library/lesson/view/64ecef7a-6e36-448f-8a6c-9146e74dbd96/cover,lss nt,LSS NT,nt science,NT SCIENCE,NT Science,G1 science,Normal Technical,Normal Technical Science,G1 LSS,G1 Science
[Let's Go Digital] 1.3D Investigating Claims [LSS],1,https://vle.learning.moe.edu.sg/moe-library/lesson/view/d61669af-32b5-4d3c-b9b5-7ef2b2ef6334/cover,lss nt,LSS NT,nt science,NT SCIENCE,NT Science,G1 science,Normal Technical,Normal Technical Science,G1 LSS,G1 Science
[Let’s Go Digital] 2.3A Stopping Distance of Coins [LSS],2,https://vle.learning.moe.edu.sg/moe-library/lesson/view/fd5d241c-2048-4c21-85cb-ed9e1fa701e3/cover,lss nt,LSS NT,nt science,NT SCIENCE,NT Science,G1 science,Normal Technical,Normal Technical Science,G1 LSS,G1 Science
[Let’s Go Digital] 3.3A Renewable Energy Machine [LSS],3,https://vle.learning.moe.edu.sg/moe-library/lesson/view/14af1a8c-67c8-4a6e-8fdf-ee19c505b8e7/cover,lss nt,LSS NT,nt science,NT SCIENCE,NT Science,G1 science,Normal Technical,Normal Technical Science,G1 LSS,G1 Science
[Let's Go Digital] 4.2E How the Current in a Circuit Is Affected by the Number of Lamps in Series and in Parallel [LSS],4,https://vle.learning.moe.edu.sg/moe-library/lesson/view/40fdbc30-e493-401c-9641-e036d2cdd6cb/cover,lss nt,LSS NT,nt science,NT SCIENCE,NT Science,G1 science,Normal Technical,Normal Technical Science,G1 LSS,G1 Science
[Let's Go Digital] 5.2B Which Egg Will Be More Cooked? [Teacher Demonstration] [LSS],5,https://vle.learning.moe.edu.sg/moe-library/lesson/view/8ba7e993-f48c-4c80-b1c0-cd212ae8fea6/cover,lss nt,LSS NT,nt science,NT SCIENCE,NT Science,G1 science,Normal Technical,Normal Technical Science,G1 LSS,G1 Science
[Let's Go Digital] 6.1D How to Make an Object Float? [LSS],6,https://vle.learning.moe.edu.sg/moe-library/lesson/view/9b3f8e8e-29ce-41ad-8211-01863221c5cd/cover,lss nt,LSS NT,nt science,NT SCIENCE,NT Science,G1 science,Normal Technical,Normal Technical Science,G1 LSS,G1 Science
[Let's Go Digital] 7.2A Effects of Oil Spills on Plants [LSS],7,https://vle.learning.moe.edu.sg/moe-library/lesson/view/92bdc190-4ada-4f6d-8cdd-8a9f3c415187/cover,lss nt,LSS NT,nt science,NT SCIENCE,NT Science,G1 science,Normal Technical,Normal Technical Science,G1 LSS,G1 Science
[Let's Go Digital] 8.3A Effects of Acid Rain (I) [LSS],8,https://vle.learning.moe.edu.sg/moe-library/lesson/view/859a0d3b-034c-4406-9dd0-f2054edb945e/cover,lss nt,LSS NT,nt science,NT SCIENCE,NT Science,G1 science,Normal Technical,Normal Technical Science,G1 LSS,G1 Science
[Let's Go Digital] 9.2B Which Traits Are Common? [LSS] ,9,https://vle.learning.moe.edu.sg/moe-library/lesson/view/a7591fba-81ac-490f-aaba-5b20adf89e55/cover,lss nt,LSS NT,nt science,NT SCIENCE,NT Science,G1 science,Normal Technical,Normal Technical Science,G1 LSS,G1 Science
[Let's Go Digital] 10.1B How Should I Reduce Food Wastage? [LSS],10,https://vle.learning.moe.edu.sg/moe-library/lesson/view/d13a571c-5e32-4d3f-ae16-58f8c8d05b11/cover,lss nt,LSS NT,nt science,NT SCIENCE,NT Science,G1 science,Normal Technical,Normal Technical Science,G1 LSS,G1 Science
[Let's Go Digital] 11.3A Facilitated Reproduction [LSS],11,https://vle.learning.moe.edu.sg/moe-library/lesson/view/47323f05-2e35-4085-9e0c-35767521c6e9/cover,lss nt,LSS NT,nt science,NT SCIENCE,NT Science,G1 science,Normal Technical,Normal Technical Science,G1 LSS,G1 Science
[Let's Go Digital] 12.3A Consequences of Drinking Too Much Alcohol [LSS],12,https://vle.learning.moe.edu.sg/moe-library/lesson/view/9289aa7e-063a-43ab-8103-3dd7ec1a3d93/cover,lss nt,LSS NT,nt science,NT SCIENCE,NT Science,G1 science,Normal Technical,Normal Technical Science,G1 LSS,G1 Science
