"School","Year","Phase","Vacancy","Registration","Left","Success Rate","Max PR Vacancy"
"Damai Primary School","2021","Phase 1","200","33","167","100%","200"
"Corporation Primary School","2021","Phase 1","230","72","158","100%","230"
"Concord Primary School","2021","Phase 1","200","94","106","100%","200"
"Compassvale Primary School","2021","Phase 1","200","91","109","100%","200"
"Clementi Primary School","2021","Phase 1","240","94","146","100%","240"
"Chua Chu Kang Primary School","2021","Phase 1","200","92","108","100%","200"
"Chongzheng Primary School","2021","Phase 1","140","87","53","100%","140"
"Chongfu School","2021","Phase 1","260","140","120","100%","260"
"CHIJ St. Nicholas Girls' School (Primary Section)","2021","Phase 1","170","93","77","100%","170"
"CHIJ Primary (Toa Payoh)","2021","Phase 1","170","51","119","100%","170"
"CHIJ Our Lady Queen of Peace","2021","Phase 1","140","40","100","100%","140"
"CHIJ Our Lady of the Nativity","2021","Phase 1","200","54","146","100%","200"
"CHIJ Our Lady of Good Counsel","2021","Phase 1","110","43","67","100%","110"
"CHIJ (Kellock)","2021","Phase 1","160","43","117","100%","160"
"CHIJ (Katong) Primary","2021","Phase 1","160","46","114","100%","160"
"Changkat Primary School","2021","Phase 1","170","46","124","100%","170"
"Cedar Primary School","2021","Phase 1","200","36","164","100%","200"
"Catholic High School (Primary Section)","2021","Phase 1","200","81","119","100%","200"
"Casuarina Primary School","2021","Phase 1","120","63","57","100%","120"
"Cantonment Primary School","2021","Phase 1","200","60","140","100%","200"
"Canossa Catholic Primary School","2021","Phase 1","110","33","77","100%","110"
"Canberra Primary School","2021","Phase 1","200","85","115","100%","200"
"Bukit View Primary School","2021","Phase 1","200","63","137","100%","200"
"Bukit Timah Primary School","2021","Phase 1","170","63","107","100%","170"
"Bukit Panjang Primary School","2021","Phase 1","200","97","103","100%","200"
"Boon Lay Garden Primary School","2021","Phase 1","200","61","139","100%","200"
"Blangah Rise Primary School","2021","Phase 1","110","18","92","100%","110"
"Bendemeer Primary School","2021","Phase 1","200","59","141","100%","200"
"Bedok Green Primary School","2021","Phase 1","230","53","177","100%","230"
"Beacon Primary School","2021","Phase 1","200","72","128","100%","200"
"Angsana Primary School","2021","Phase 1","200","38","162","100%","200"
"Anglo-Chinese School (Primary)","2021","Phase 1","200","59","141","100%","200"
"Anglo-Chinese School (Junior)","2021","Phase 1","230","88","142","100%","230"
"Ang Mo Kio Primary School","2021","Phase 1","200","48","152","100%","200"
"Anderson Primary School","2021","Phase 1","170","86","84","100%","170"
"Anchor Green Primary School","2021","Phase 1","200","87","113","100%","200"
"Alexandra Primary School","2021","Phase 1","160","95","65","100%","160"
"Ai Tong School","2021","Phase 1","260","147","113","100%","260"
"Ahmad Ibrahim Primary School","2021","Phase 1","170","40","130","100%","170"
"Admiralty Primary School","2021","Phase 1","170","83","87","100%","170"
